[2022-12-08 17:32:45] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-08 17:32:45] [INFO   ] configuration file was loaded from resources directory.
[2022-12-08 17:32:46] [SEVERE ] placing card 52 in slot 0
[2022-12-08 17:32:46] [SEVERE ] placing card 3 in slot 1
[2022-12-08 17:32:46] [SEVERE ] placing card 79 in slot 2
[2022-12-08 17:32:46] [SEVERE ] placing card 39 in slot 3
[2022-12-08 17:32:46] [SEVERE ] placing card 77 in slot 4
[2022-12-08 17:32:46] [SEVERE ] placing card 71 in slot 5
[2022-12-08 17:32:47] [SEVERE ] placing card 11 in slot 6
[2022-12-08 17:32:47] [SEVERE ] placing card 22 in slot 7
[2022-12-08 17:32:47] [SEVERE ] placing card 35 in slot 8
[2022-12-08 17:32:47] [SEVERE ] placing card 55 in slot 9
[2022-12-08 17:32:47] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:47] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:32:47] [SEVERE ] placing card 16 in slot 10
[2022-12-08 17:32:47] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:47] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:32:47] [SEVERE ] placing card 53 in slot 11
[2022-12-08 17:32:47] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:47] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:32:48] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:32:48] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 17:32:48] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 17:32:49] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:49] [SEVERE ] player 1 placing token on slot 3
[2022-12-08 17:32:49] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:49] [SEVERE ] player 1 placing token on slot 2
[2022-12-08 17:32:49] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:49] [SEVERE ] player 1 placing token on slot 1
[2022-12-08 17:32:49] [SEVERE ] removing player 1 token from slot 3
[2022-12-08 17:32:49] [SEVERE ] removing player 1 token from slot 2
[2022-12-08 17:32:49] [SEVERE ] removing player 1 token from slot 1
[2022-12-08 17:32:51] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:51] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:32:51] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:51] [SEVERE ] player 1 placing token on slot 3
[2022-12-08 17:32:51] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:51] [SEVERE ] player 1 placing token on slot 2
[2022-12-08 17:32:51] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:51] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:32:51] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:51] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:32:51] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:32:51] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 17:32:51] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 17:32:51] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:51] [SEVERE ] player 1 placing token on slot 1
[2022-12-08 17:32:51] [SEVERE ] removing player 1 token from slot 3
[2022-12-08 17:32:51] [SEVERE ] removing player 1 token from slot 2
[2022-12-08 17:32:51] [SEVERE ] removing player 1 token from slot 1
[2022-12-08 17:32:52] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:52] [SEVERE ] player 1 placing token on slot 3
[2022-12-08 17:32:52] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:52] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:32:52] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:52] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:32:52] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:52] [SEVERE ] player 1 placing token on slot 2
[2022-12-08 17:32:52] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:52] [SEVERE ] player 1 placing token on slot 1
[2022-12-08 17:32:52] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:52] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:32:52] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:32:52] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 17:32:52] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 17:32:52] [SEVERE ] removing player 1 token from slot 3
[2022-12-08 17:32:52] [SEVERE ] removing player 1 token from slot 2
[2022-12-08 17:32:52] [SEVERE ] removing player 1 token from slot 1
[2022-12-08 17:32:52] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:52] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:32:52] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:52] [SEVERE ] player 1 placing token on slot 3
[2022-12-08 17:32:52] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:52] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:32:52] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:52] [SEVERE ] player 1 placing token on slot 2
[2022-12-08 17:32:52] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:52] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:32:52] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:52] [SEVERE ] player 1 placing token on slot 1
[2022-12-08 17:32:53] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:53] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:53] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:53] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:53] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:53] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:53] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:32:53] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 17:32:53] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 17:32:53] [SEVERE ] removing player 1 token from slot 3
[2022-12-08 17:32:53] [SEVERE ] removing player 1 token from slot 2
[2022-12-08 17:32:53] [SEVERE ] removing player 1 token from slot 1
[2022-12-08 17:32:53] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:53] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:32:53] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:53] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:32:53] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:53] [SEVERE ] player 1 placing token on slot 3
[2022-12-08 17:32:53] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:53] [SEVERE ] player 1 placing token on slot 2
[2022-12-08 17:32:53] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:53] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:32:53] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:53] [SEVERE ] player 1 placing token on slot 1
[2022-12-08 17:32:53] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:53] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:54] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:54] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:54] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:54] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:54] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:54] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:54] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:32:54] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 17:32:54] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 17:32:54] [SEVERE ] removing player 1 token from slot 3
[2022-12-08 17:32:54] [SEVERE ] removing player 1 token from slot 2
[2022-12-08 17:32:54] [SEVERE ] removing player 1 token from slot 1
[2022-12-08 17:32:54] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:54] [SEVERE ] player 1 placing token on slot 2
[2022-12-08 17:32:54] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:54] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:32:54] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:54] [SEVERE ] player 1 placing token on slot 1
[2022-12-08 17:32:54] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:32:54] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:54] [SEVERE ] player 1 placing token on slot 3
[2022-12-08 17:32:54] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:54] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:32:54] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:54] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:54] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:55] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:55] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:55] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:55] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:55] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:55] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:55] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 17:32:55] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:32:55] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 17:32:55] [SEVERE ] removing player 1 token from slot 2
[2022-12-08 17:32:55] [SEVERE ] removing player 1 token from slot 1
[2022-12-08 17:32:55] [SEVERE ] removing player 1 token from slot 3
[2022-12-08 17:32:55] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:55] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:32:55] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:55] [SEVERE ] player 1 placing token on slot 3
[2022-12-08 17:32:55] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:55] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:32:55] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:55] [SEVERE ] player 1 placing token on slot 2
[2022-12-08 17:32:55] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:55] [SEVERE ] player 1 placing token on slot 1
[2022-12-08 17:32:55] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:55] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:32:56] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:56] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:56] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:56] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:56] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:56] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:56] [SEVERE ] removing player 0 token from slot 0
[2022-12-08 17:32:56] [SEVERE ] removing player 0 token from slot 1
[2022-12-08 17:32:56] [SEVERE ] removing player 0 token from slot 2
[2022-12-08 17:32:56] [SEVERE ] removing player 1 token from slot 3
[2022-12-08 17:32:56] [SEVERE ] removing player 1 token from slot 2
[2022-12-08 17:32:56] [SEVERE ] removing player 1 token from slot 1
[2022-12-08 17:32:56] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:56] [SEVERE ] player 1 placing token on slot 3
[2022-12-08 17:32:56] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:56] [SEVERE ] player 0 placing token on slot 0
[2022-12-08 17:32:56] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:56] [SEVERE ] player 0 placing token on slot 1
[2022-12-08 17:32:56] [SEVERE ] Key 79 was pressed by player 1
[2022-12-08 17:32:56] [SEVERE ] player 1 placing token on slot 2
[2022-12-08 17:32:56] [SEVERE ] Key 73 was pressed by player 1
[2022-12-08 17:32:56] [SEVERE ] player 1 placing token on slot 1
[2022-12-08 17:32:56] [SEVERE ] Key 69 was pressed by player 0
[2022-12-08 17:32:56] [SEVERE ] player 0 placing token on slot 2
[2022-12-08 17:32:56] [SEVERE ] Key 81 was pressed by player 0
[2022-12-08 17:32:56] [SEVERE ] Key 80 was pressed by player 1
[2022-12-08 17:32:56] [SEVERE ] Key 87 was pressed by player 0
[2022-12-08 17:32:57] [SEVERE ] Key 79 was pressed by player 1
